PL_Index,nu_syn,LP_Index,Pivot_Energy,Frac_Variability,Variability_Index,nuFnu_syn
2.243127,30.19771,2.1349716,6.562746,0.62961584,6.437722,-26.78396
1.9089572,36.62274,1.8976374,8.158385,0.15223147,2.6735508,-25.918272
2.728762,27.631021,2.785883,6.3358216,0.4895601,2.9563687,-27.631021
2.2485132,29.7002,2.160304,6.8838944,0.5887913,4.6807146,-26.655647
2.6281524,27.631021,2.6234412,6.753069,1.0115136,3.651957,-27.631021
2.2516944,29.924818,2.0899975,6.784944,0.6889162,4.4697165,-26.519703
2.000249,34.1948,1.9869518,8.144121,0.10255089,2.865916,-24.960222
2.1996703,29.96632,2.1579611,7.75107,0.79266256,3.42981,-26.494444
2.38503,30.41205,2.2895896,6.201378,0.77290916,7.94147,-24.94234
1.7945331,40.076496,1.695803,8.716904,0.0,1.5130945,-26.211323
1.7850308,38.87916,1.7497371,8.965656,0.5229701,3.1262507,-24.831713
2.4811358,30.028915,2.460567,6.7843037,0.3888839,4.706718,-26.632376
2.5158093,30.187086,2.5321276,7.5501823,0.90964574,5.427181,-24.82359
2.433127,27.631021,2.3369012,7.157534,0.54526585,3.3776097,-27.631021
1.8752682,34.652496,1.734964,7.316504,0.27767465,4.8618436,-25.56732
2.1108255,37.163795,2.096535,7.957652,0.0,2.3602188,-26.607744
2.4622,28.712774,2.5201929,6.9222937,0.7148422,6.1143174,-26.535946
1.6557232,37.347992,1.405515,8.2503395,0.27180985,3.1490219,-25.922537
1.6317279,27.631021,1.5251056,9.493459,0.0,1.5008117,-27.631021
2.1187265,27.631021,2.1036854,7.9539566,0.3052435,2.7366562,-27.631021
2.4374468,30.11299,2.2408516,6.5682516,1.3671901,6.1155376,-26.762672
2.3740685,29.541216,2.2448628,6.601245,1.2352431,6.2976255,-25.209608
2.3712447,27.631021,2.2147598,7.572626,0.490641,2.979639,-27.631021
2.179418,36.24287,2.1355553,7.6430407,0.30301765,2.880152,-26.852201
2.5340884,29.377,2.4611757,6.394864,0.6189907,5.4976416,-26.603779
1.7850266,40.24919,1.7728323,8.79628,0.0,2.0376067,-27.225061
2.191674,29.136768,2.0419757,7.067391,0.31072372,3.54917,-27.324286
2.3040643,27.631021,2.3549984,7.5409493,0.0,1.7303097,-27.631021
2.389137,32.10945,2.4000711,6.832816,0.0,2.2692916,-27.316244
2.65406,32.703,2.5141594,5.7984066,0.9961379,7.5553484,-26.864405
2.4220495,30.19771,2.3885863,6.9282885,0.9273291,4.1729164,-27.238699
1.6946768,40.5255,1.6579924,8.775166,0.38002166,3.0370994,-26.115732
1.9887938,27.631021,1.9707043,7.9612246,0.3431378,2.9057195,-27.631021
2.0097582,27.631021,1.5788944,7.894113,0.0,2.2033024,-27.631021
2.4118388,29.7002,2.3598938,7.1834674,0.84847236,5.6244025,-26.78765
2.1917043,32.588634,2.154303,7.3902497,0.4501138,3.6168625,-26.747723
2.3958051,30.368916,2.3225002,6.431229,0.41760546,5.7208033,-25.938177
2.0252087,33.999386,1.9255496,8.210425,0.0,1.6786696,-27.290148
2.387512,28.814173,2.3596945,6.7012053,0.7993489,5.2128906,-26.78936
2.478343,27.631021,2.2540693,6.6302943,1.0741252,4.3906364,-27.631021
2.4581637,29.472973,2.4372668,6.841301,0.9536609,4.8020554,-27.256035
2.318697,30.039389,1.9522192,7.217333,0.0,2.367924,-27.394821
2.4236288,30.09612,2.3097622,6.3018126,0.82097584,7.4215612,-25.949259
2.0297077,36.61123,2.0176196,8.266721,0.17482384,2.5770328,-26.030115
2.579447,28.682571,2.4693797,6.1252346,0.87246597,5.277762,-27.327494
1.9505991,27.631021,1.9076711,7.7595344,0.16937993,2.7411718,-27.631021
2.2211504,27.631021,2.1931484,7.518059,0.0,1.2339418,-27.631021
2.4261837,30.26165,2.3953445,7.1172805,0.60912764,3.1699796,-27.326817
2.0945237,29.109995,2.020257,7.1145744,0.49892974,6.100387,-26.63249
2.3235648,35.230053,2.2581518,7.3868423,0.0,2.379831,-27.219267
2.130484,31.339966,2.0368118,6.97516,0.20412812,3.7376685,-26.08007
1.8072385,27.631021,1.809114,9.00237,0.0,2.6786947,-27.631021
1.8650049,39.949856,1.632365,8.281001,0.13990961,2.6705525,-25.669256
2.0043204,34.330475,1.9829167,7.384453,0.5821918,5.6141396,-26.146269
2.1861763,27.631021,2.2462373,8.059327,0.0,2.8359292,-27.631021
2.3221333,28.735737,2.2384508,7.2253165,0.63905877,3.8375053,-27.382963
2.05967,34.07984,1.972407,7.869393,0.36518335,2.9051652,-27.042458
1.9082808,41.63074,1.7405409,7.871281,0.6509289,3.893988,-26.35332
2.1121721,31.610342,2.0595388,7.8282886,0.3450531,3.2032187,-26.636112
1.8984345,36.254383,1.7533509,8.279144,0.35488713,2.749563,-27.182987
2.5009618,29.472973,2.3776317,6.208012,0.4483518,5.5094833,-26.02151
2.0687227,33.62714,1.9925231,7.3132915,0.43458173,4.1561723,-25.896315
2.0113432,32.211952,1.6900266,7.83944,0.0,2.3918107,-27.370481
2.1471992,29.801498,2.1068544,7.0198207,0.16204864,3.3986547,-25.244806
2.0754952,27.631021,2.032931,7.725449,0.29694146,3.2792866,-27.631021
2.5782306,28.758965,2.402789,6.267297,0.593776,4.841304,-26.869963
2.8953571,28.209558,2.545119,5.9709125,0.4724848,3.1629314,-27.119822
2.2033215,30.336647,2.2236695,7.2207336,0.7041836,9.631475,-24.424505
2.663549,29.472973,2.6592495,6.815694,0.62800485,3.7252061,-27.022408
2.2977636,29.432442,2.2411299,6.7425404,0.8283717,7.4062815,-25.647242
1.8732549,35.110382,1.7643487,7.5358586,0.16187482,2.9712985,-26.29722
2.86035,30.893679,2.6828732,5.688085,1.1869183,5.617741,-26.10183
2.0183306,31.90483,2.0248628,7.7118144,0.13288765,2.5789487,-27.003992
2.263919,31.071423,2.2591321,7.5748835,0.57051986,3.227787,-27.3602
1.9986932,27.631021,2.0033672,8.549189,0.0,1.7477611,-27.631021
1.7375861,27.631021,1.6335653,8.820568,0.49078152,3.1630707,-27.631021
2.3984938,29.163746,2.3103418,6.3570495,0.49849886,6.154227,-26.892202
2.1789794,29.65009,2.1065633,7.486724,0.76129824,3.3709295,-27.258472
2.411705,30.039389,2.3979084,7.1263623,0.45033768,5.4675684,-24.541561
2.467149,33.161198,1.837797,7.0246444,0.24042426,2.50747,-27.317022
2.3017867,29.472973,2.4003425,7.6772823,0.76263285,6.8001337,-25.711004
2.2786305,27.631021,2.209357,7.7221546,0.5010152,3.4576848,-27.631021
2.2015696,29.472973,1.6191658,7.7780166,0.6118606,3.2211308,-27.066
1.7821668,27.631021,1.7489336,8.407452,0.46769905,3.8584416,-27.631021
2.5630782,29.630152,2.4939106,6.379409,0.5448029,4.086037,-26.383589
2.4585195,32.33737,2.4372685,7.2858005,0.51509243,3.2107332,-26.952572
1.9115729,27.631021,1.9437218,8.297745,0.0,2.1569479,-27.631021
1.9983147,32.6115,1.8901341,7.3732877,0.53430694,4.1330543,-27.032335
2.294476,27.631021,2.2793465,7.4097776,0.7112021,3.8606825,-27.631021
2.078451,31.222223,1.950533,6.9618754,0.26170176,4.0420375,-26.162018
2.452628,27.631021,2.1563816,6.6580296,0.48409396,3.127884,-27.631021
1.9214096,39.282112,1.8757663,8.251772,0.30807567,2.9226055,-26.400928
2.000837,27.631021,1.9253991,8.608929,0.0,2.536716,-27.631021
2.1605372,32.95488,2.284154,7.86516,0.0,2.3818429,-27.142948
2.064441,32.65541,1.9949322,7.678575,0.37662852,3.1276312,-27.362219
2.3207746,29.7002,2.299176,7.1604133,0.36800158,3.6129565,-26.835703
2.1484103,29.924818,2.0450866,7.4902363,0.6099185,3.5419004,-26.475555
2.4120796,29.945545,2.2604837,6.9867435,0.41952989,3.0049517,-26.994926
1.85054,27.631021,1.8161227,8.326575,0.28835717,3.4786475,-27.631021
2.3140202,32.007076,2.1422832,6.4213905,0.42513633,5.227112,-26.681158
1.8305869,38.326553,1.7440816,8.836239,0.0,2.163914,-26.695932
1.5729232,36.910534,1.2062044,9.673546,0.0,2.527867,-27.108812
2.2887232,33.092403,2.1681323,7.4975963,0.43241188,2.8396502,-27.301054
2.374438,29.44399,2.0573587,6.925942,0.844716,4.0530024,-27.258587
2.3681579,33.565132,2.3263795,7.2170954,0.0,2.3229067,-26.83466
2.4587893,29.68011,2.3624082,6.528573,0.5579502,6.6191087,-25.471748
1.9903688,34.76983,1.8838742,7.229249,0.40872404,5.321718,-26.84443
2.0707192,35.64435,2.1024659,7.664127,0.35523,3.053223,-26.67147
2.3473184,27.631021,2.3043084,7.5047154,0.0,2.2935755,-27.631021
2.3783057,29.329721,2.3302746,7.043628,1.1041869,4.941844,-27.407845
1.994401,31.200958,1.9038004,6.9741077,0.38992685,5.982008,-25.11362
2.7783325,29.339138,2.7381644,6.131303,0.40057158,3.5314562,-27.248701
1.9968083,35.345127,1.7745327,7.5817018,0.0,2.0980186,-26.495012
1.8742205,35.114986,1.7754116,7.2822104,0.22942598,4.0959888,-25.86912
1.9358433,38.936726,1.8821881,8.349112,0.9315747,3.1880426,-26.373869
2.2680962,27.631021,2.1733675,8.033343,0.2769651,3.042625,-27.631021
2.008135,32.45152,2.008671,7.8666635,0.32440695,3.1240606,-27.07527
2.5958824,33.301136,2.5065699,6.8208,0.98437804,3.9104161,-27.268585
2.246488,29.422838,2.1219308,6.250398,0.8978677,9.54134,-26.493309
1.8463057,39.143955,1.8023381,8.467544,0.0,2.263724,-26.76403
2.2757237,30.11299,2.0812368,7.2104278,0.44045535,3.0388818,-27.124802
2.310422,30.893679,2.2249672,7.213513,0.47275686,3.0597181,-26.71555
2.5009084,29.348574,2.356429,6.3931785,1.0270233,6.0433087,-26.675003
1.7278124,33.367687,1.6899655,8.537474,0.33226144,3.0354955,-26.664015
2.446932,27.631021,2.4422662,7.1115394,0.3138913,2.874947,-27.631021
2.1028962,31.7008,1.9982151,7.683707,0.0,2.3842266,-27.065207
2.3538747,29.386515,2.246184,6.05898,0.6239166,7.3529096,-26.767872
2.3116212,31.239021,2.069374,7.0824885,0.24310803,2.7860222,-25.83837
1.9923475,27.631021,1.6542361,7.7714157,0.37006512,2.7546723,-27.631021
2.5984585,28.312721,2.6850889,6.9823,0.46195024,3.4587789,-27.286968
2.0286098,36.530647,2.0183253,7.66997,0.48836,3.835595,-26.160809
2.2200756,32.412697,2.1744688,6.8907604,0.18393123,3.525439,-25.237305
2.6726117,31.802732,2.5137284,6.013335,0.9150152,5.126818,-26.797344
2.041747,33.252953,2.045738,8.194256,0.0,2.2720523,-27.221733
2.0410213,33.62025,2.044361,8.441702,0.65900177,3.3677688,-27.11
2.1112025,27.631021,2.1070206,8.326539,0.38568738,2.9401784,-27.631021
